evaluation,policy,density,experiment_id,recommended_count,precision_at_100,recall_at_100,hit_rate_at_100,ndcg_at_100,complete_rate_at_100,strong_rate_at_100,short_rate_at_100,watch_ratio_at_100,utility_at_100,average_log_popularity_at_100,coverage_at_100,catalog_size,evaluated_users,evaluated_pairs,matrix_density,invalid_recommendations,unobserved_recommendation_pairs,cold_recall_at_100,cold_evaluated_users,cold_evaluated_groups,evaluated_groups,observed_pairs,observed_users,observed_positive_pairs,observed_positive_rate
full_exposure,full,1.0,R0.2,100.0,0.48482566248256626,0.04602999212220669,1.0,0.46703795512026824,0.48482566248256626,0.08764295676429568,0.07383542538354254,1.1084563817096686,0.491729428334424,7.097355531324501,0.032461677186654644,3327.0,717,2376459.0,0.9962271411916952,0.0,554.0,0.0,717.0,717.0,,,,,
full_exposure,full,1.0,R1.0,100.0,0.3807112970711298,0.03669483612163931,1.0,0.3874699911710377,0.3807112970711298,0.04838214783821478,0.07589958158995816,0.9222090161861957,0.3669525802114685,6.484955539405905,0.731590021039976,3327.0,717,2376459.0,0.9962271411916952,0.0,270.0,0.0,717.0,717.0,,,,,
full_exposure,full,1.0,R2.4,100.0,0.34834030683403067,0.032393894395059186,1.0,0.3507894581940735,0.34834030683403067,0.048870292887029286,0.07510460251046025,0.91181610398472,0.33522315137607867,5.163386933061497,0.36489329726480313,3327.0,717,2376459.0,0.9962271411916952,0.0,261.0,0.03771980310817575,717.0,717.0,,,,,
full_exposure,full,1.0,R3.3,99.82845188284519,0.7413807531380754,0.07354257272945207,1.0,0.7493276892827858,0.7428148899076215,0.16365520282559845,0.07160256701547167,1.4505010840953327,0.7888412073974185,2.859936740458838,0.05831079050195371,3327.0,717,2376459.0,0.9962271411916952,0.0,589.0,0.25266809643522203,717.0,717.0,,,,,
full_exposure,full,1.0,R3.4,100.0,0.7210739191073919,0.07113990852449462,1.0,0.7279717605061097,0.7210739191073919,0.15461645746164576,0.07117154811715481,1.417007542942963,0.7627963742236068,2.693023131482571,0.12804328223624886,3327.0,717,2376459.0,0.9962271411916952,0.0,359.0,0.2503388188133558,717.0,717.0,,,,,
full_exposure,full,1.0,R3.5,99.89679218967922,0.7306694560669454,0.07253926914308144,1.0,0.7417628741527426,0.7315496589811739,0.16396056382155602,0.07394637690210037,1.4380749627155751,0.7765567517596474,3.906304660447571,0.053802224226029455,3327.0,717,2376459.0,0.9962271411916952,0.0,316.0,0.18397829021473802,717.0,717.0,,,,,
full_exposure,full,1.0,R3.6,100.0,0.7265271966527196,0.07198858556596129,1.0,0.7406360638655832,0.7265271966527196,0.14997210599721061,0.07365411436541144,1.4145900038156272,0.7646861920858028,3.0858767078131795,0.16831980763450555,3327.0,717,2376459.0,0.9962271411916952,0.0,416.0,0.23383616324399184,717.0,717.0,,,,,
sparse_replay,uniform,0.05,R0.2,,,0.0444313740137246,0.8814504881450488,0.03514345784700368,,,,,,0.0,0.03005710850616171,,717,,,,,,,,717.0,118823.0,717.0,39142.0,0.3294143389747776
sparse_replay,uniform,0.05,R1.0,,,0.03515611653682791,0.8228730822873083,0.028630487433362106,,,,,,0.0,0.731590021039976,,717,,,,,,,,717.0,118823.0,717.0,39142.0,0.3294143389747776
sparse_replay,uniform,0.05,R2.4,,,0.03198755997426335,0.8019525801952581,0.026592064606234346,,,,,,0.0,0.3642921550946799,,717,,,,,,,,717.0,118823.0,717.0,39142.0,0.3294143389747776
